Program Type,Start Year,Region,Highway,Location,Type Of Work,Highway Program Status,Target Completion,Contract #,Project Length (kilometres),Estimated Cost Range,Engineering Status,Delivery Method
Rehab,2027-2028,"North, West",71,"Nestor Falls Bridge, 36.0 km north of Hwys 600 and 615, Sioux Narrows - Nestor Falls",Bridge replacement,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",617,"Pinewood River Tributary Culverts, 6.0 km north of Hwy 11 at Stratton, Lake of the Woods",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Design in procurement,To be determined
Rehab,2027-2028,"North, West","17, 71","West limit of Kenora westerly to Hwy 17A west connection, and 11.0 km east of Hwy 71 westerly to east limit of Kenora including Hwy 71 junction",Resurfacing,Planned,2027-2028,2026-6001,26,$25 to $100 million,Design in procurement,To be determined
Rehab,2027-2028,"North, West",17,"5.0 km west of Little Pic River Bridge westerly, east of Terrace Bay","Resurfacing, Truck climbing lane, Paved shoulders",Planned,2027-2028,,25.9,$10 to $25 million,Design upcoming,To be determined
Rehab,2027-2028,"North, West",11,"Postagoni River Culvert, 26 km west of Hwy 580, Greenstone",New bridge,Planned,2027-2028,,0,$10 to $25 million,Planning/environmental assessment complete,To be determined
Rehab,2027-2028,"North, West",619,"Pinewood River Bridge, 2 km north of Hwy 11, Dawson",Bridge rehabilitation,Planned,2027-2028,2024-6014,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, West",17,"Revell River No. 3 Bridge, 1 km east of Hwy 622, west of Ignace",Bridge rehabilitation,Planned,2027-2028,2026-6002,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, West",11,"6.0 km east of Hwy 102 easterly, Thunder Bay, Shuniah","Resurfacing, Paved shoulders",Planned,2027-2028,2026-6003,29.3,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",61,"South of Hwy 130 northerly to Kaministiquia River Bridge, Oliver Paipoonge, Thunder Bay",Reconstruction,Planned,2027-2028,,14.1,$0 to $10 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",17,"Crocker Lake East Culvert, 8 km west of Hwy 631, west of White River",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",17,"Hwy 17, from 1.0 km east of Hwy 72 at Dinorwic westerly, Dryden",Resurfacing,Planned,2027-2028,2026-6004,30,$10 to $25 million,Design underway,To be determined
Rehab,2027-2028,"North, West",597,"Moores Creek Modular Bridge, 9 km south of Hwy 608, Neebing",Bridge replacement,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",11,"Bullrush Lake Culvert, 30 km north of Hwy 17, south of Greenstone",Culvert replacement,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",11,"Noden Causeway structures, 20, 21 and 22 km west of Hwy 502, east of Fort Frances",Bridge rehabilitation,Planned,2027-2028,,0,$10 to $25 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West","11, 11B, 622","West of Hwy 11B easterly, Hwy 11B and Hwy 622 northerly, Atikokan","Resurfacing, Paved shoulders",Planned,2027-2028,,28.4,$10 to $25 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",808,"Pineimuta River Modular Bridge, 141 km north of Hwy 599, Central Patricia",Bridge replacement,Planned,2027-2028,2026-6007,0,$0 to $10 million,Design underway,To be determined
Rehab,2027-2028,"North, West",11,"Oskondaga River Bridge, east of Hwy 11/17 west junction at Shabaqua Corners, west of Conmee",Bridge rehabilitation,Planned,2027-2028,2026-6008,0,$0 to $10 million,Design upcoming,To be determined
Rehab,2027-2028,"North, West",582,"Bruner Creek Culvert, 5 km south of Hwy 11/17 east junction, north of Dorion",Culvert replacement,Planned,2027-2028,2026-6010,0,$0 to $10 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",105,"26 km north of Hwy 657 northerly, Ear Falls, north of Ear Falls",Resurfacing,Planned,2027-2028,,25.9,$10 to $25 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",17,"Beaver Creek Bridge, 9 km west of Hwy 605, Machin",Bridge rehabilitation,Planned,2027-2028,2026-6011,0,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",17,"Little Firesteel River Bridge, 13 km west of Upsala, east of Ignace",Bridge replacement,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",17,"Gravel River Bridge, 24 km west of Rossport, east of Nipigon",Bridge rehabilitation,Planned,2027-2028,,0,$0 to $10 million,Planning/environmental assessment underway,To be determined
Rehab,2027-2028,"North, West",11,"Blackwater River Bridge westerly, Greentstone","Paved shoulders, Resurfacing",Planned,2027-2028,,29,$10 to $25 million,Planning/environmental assessment upcoming,To be determined
Rehab,2027-2028,"North, West",11,"West of Hwy 613 westerly, La Vallee, Emo, Chapple","Resurfacing, Paved shoulders",Planned,2027-2028,2026-6012,24,$10 to $25 million,Design upcoming,To be determined
